epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,768.255,1.22818,0.39597,0,0.58149,1.00241,0.96267,0.97026,0.98759,0.67806,0.97109,0.97889,0.99086,0.95792,1.14462,0.25396,0,0.49904,1.00811,0.0011288,0.0011288,0.0011288
68,782.539,1.19921,0.37195,0,0.55979,0.99735,0.95949,0.96652,0.9878,0.68591,0.96708,0.97244,0.99023,0.95968,1.13581,0.24399,0,0.49368,0.99727,0.0011156,0.0011156,0.0011156
69,795.62,1.20756,0.36921,0,0.55704,0.99031,0.97891,0.95443,0.98674,0.67264,0.96595,0.97456,0.99008,0.95242,1.15422,0.25876,0,0.49921,1.01185,0.0011024,0.0011024,0.0011024
70,808.809,1.22927,0.38698,0,0.57218,1.00393,0.9626,0.96831,0.98664,0.68562,0.96924,0.97085,0.98906,0.95784,1.12693,0.24366,0,0.4988,0.99884,0.0010892,0.0010892,0.0010892
71,823.419,1.20156,0.36887,0,0.5604,0.98927,0.97243,0.95919,0.98825,0.69376,0.97667,0.96396,0.99034,0.9602,1.10098,0.23946,0,0.48678,0.98848,0.001076,0.001076,0.001076
72,836.397,1.19466,0.37709,0,0.55907,0.99414,0.96442,0.96873,0.98715,0.69697,0.97043,0.97562,0.98999,0.9606,1.11027,0.24194,0,0.48004,0.99067,0.0010628,0.0010628,0.0010628
73,848.374,1.21201,0.37772,0,0.56539,1.00172,0.96414,0.96926,0.98847,0.69349,0.96941,0.97456,0.99071,0.96118,1.11849,0.24811,0,0.48087,0.99621,0.0010496,0.0010496,0.0010496
74,864.759,1.21824,0.37749,0,0.55722,1.00224,0.96325,0.96873,0.98814,0.68544,0.96965,0.97509,0.99044,0.95902,1.12683,0.24543,0,0.48721,1.00145,0.0010364,0.0010364,0.0010364
75,879.417,1.21834,0.37245,0,0.56507,0.99542,0.96927,0.96502,0.98794,0.67565,0.97194,0.97191,0.99057,0.95215,1.13305,0.25598,0,0.49994,0.99989,0.0010232,0.0010232,0.0010232
76,890.065,1.22448,0.37621,0,0.57014,1.00208,0.96762,0.97085,0.98848,0.68423,0.97264,0.97615,0.99053,0.95916,1.11867,0.24053,0,0.48823,0.99726,0.00101,0.00101,0.00101
77,901.002,1.19137,0.36797,0,0.55612,0.99099,0.96827,0.97018,0.98907,0.68629,0.97355,0.97523,0.99131,0.96101,1.13915,0.24409,0,0.4826,0.99943,0.0009968,0.0009968,0.0009968
78,912.145,1.20178,0.36174,0,0.5623,0.99754,0.96654,0.96873,0.98805,0.68667,0.96837,0.9735,0.99066,0.96052,1.1231,0.23821,0,0.48727,0.99677,0.0009836,0.0009836,0.0009836
79,923.141,1.20679,0.35865,0,0.56445,0.99823,0.9652,0.9682,0.98826,0.68704,0.97074,0.97403,0.9903,0.96139,1.1287,0.24075,0,0.49064,0.99922,0.0009704,0.0009704,0.0009704
80,933.82,1.18873,0.36372,0,0.55617,0.98962,0.96214,0.96953,0.98784,0.68827,0.96798,0.97734,0.99056,0.96165,1.12667,0.24021,0,0.48654,0.9954,0.0009572,0.0009572,0.0009572
81,946.946,1.17336,0.34355,0,0.54335,0.98695,0.97033,0.97049,0.98912,0.69855,0.97563,0.97579,0.99138,0.96432,1.09828,0.22982,0,0.46705,0.98749,0.000944,0.000944,0.000944
82,966.532,1.19168,0.36286,0,0.55642,0.98572,0.96748,0.97032,0.98852,0.69112,0.97205,0.97679,0.99131,0.9581,1.12131,0.24912,0,0.48174,0.99412,0.0009308,0.0009308,0.0009308
83,977.057,1.18839,0.37227,0,0.55994,0.98457,0.96564,0.96813,0.98813,0.68002,0.97355,0.97456,0.99061,0.959,1.14742,0.24576,0,0.48783,0.99576,0.0009176,0.0009176,0.0009176
84,990.881,1.17085,0.34941,0,0.5405,0.98433,0.97138,0.97032,0.98938,0.69938,0.97562,0.97456,0.99095,0.96484,1.09623,0.2306,0,0.47318,0.97958,0.0009044,0.0009044,0.0009044
85,1001.89,1.17012,0.35205,0,0.54839,0.98218,0.96694,0.96661,0.98852,0.70146,0.97342,0.97037,0.99092,0.96476,1.08672,0.22708,0,0.47782,0.98061,0.0008912,0.0008912,0.0008912
86,1012.52,1.17743,0.35187,0,0.55059,0.98784,0.96676,0.97099,0.98939,0.70078,0.97204,0.97629,0.99113,0.96461,1.08541,0.22231,0,0.47405,0.98105,0.000878,0.000878,0.000878
87,1023.28,1.19454,0.35898,0,0.54931,0.98988,0.97324,0.96714,0.98967,0.70141,0.9738,0.97615,0.99161,0.96569,1.08673,0.22354,0,0.46993,0.97977,0.0008648,0.0008648,0.0008648
88,1034.8,1.16479,0.34585,0,0.53868,0.97937,0.9683,0.97121,0.98938,0.70398,0.97508,0.97457,0.99175,0.96582,1.08687,0.22491,0,0.46412,0.97881,0.0008516,0.0008516,0.0008516
89,1046.39,1.16785,0.3497,0,0.54263,0.98338,0.96819,0.96555,0.98924,0.70677,0.97368,0.97244,0.99165,0.96593,1.08041,0.2254,0,0.46568,0.97927,0.0008384,0.0008384,0.0008384
90,1057.72,1.16366,0.34984,0,0.54184,0.98255,0.96579,0.97238,0.98884,0.69794,0.9721,0.97874,0.99128,0.96313,1.09075,0.22591,0,0.46884,0.9845,0.0008252,0.0008252,0.0008252
91,1068.69,1.17593,0.33722,0,0.5285,0.98803,0.97178,0.9672,0.98855,0.70441,0.97664,0.9735,0.99074,0.96435,1.08442,0.22475,0,0.4675,0.97928,0.000812,0.000812,0.000812
92,1079.83,1.15632,0.33653,0,0.54105,0.97996,0.96716,0.96756,0.98926,0.70066,0.97353,0.97438,0.99139,0.96743,1.09043,0.22009,0,0.4679,0.98066,0.0007988,0.0007988,0.0007988
93,1091.57,1.16492,0.34817,0,0.53687,0.98508,0.97343,0.97073,0.98929,0.70669,0.97719,0.97615,0.99164,0.96574,1.07435,0.2206,0,0.45823,0.97538,0.0007856,0.0007856,0.0007856
94,1102.77,1.15907,0.342,0,0.53004,0.9796,0.97037,0.97179,0.98927,0.71194,0.97596,0.97721,0.9913,0.96647,1.06067,0.21629,0,0.45587,0.97158,0.0007724,0.0007724,0.0007724
95,1113.32,1.1631,0.35174,0,0.53825,0.98088,0.97186,0.97003,0.98972,0.70179,0.97717,0.97528,0.99197,0.96539,1.09106,0.2247,0,0.46504,0.98069,0.0007592,0.0007592,0.0007592
96,1124.34,1.16154,0.32798,0,0.53754,0.97883,0.97287,0.9682,0.98936,0.70368,0.97658,0.97456,0.99201,0.96554,1.07787,0.22105,0,0.46305,0.98076,0.000746,0.000746,0.000746
97,1135.18,1.13384,0.32582,0,0.52365,0.97225,0.97181,0.9682,0.98967,0.70549,0.97664,0.97491,0.99201,0.96349,1.06613,0.22185,0,0.45493,0.97506,0.0007328,0.0007328,0.0007328
98,1145.89,1.14555,0.33473,0,0.52749,0.96952,0.97258,0.96767,0.98975,0.70816,0.97355,0.97538,0.99203,0.96646,1.07144,0.22243,0,0.45213,0.97568,0.0007196,0.0007196,0.0007196
99,1155.9,1.15342,0.34694,0,0.53315,0.97538,0.96905,0.96608,0.98925,0.70992,0.97283,0.97085,0.99117,0.96722,1.06187,0.21495,0,0.46178,0.97179,0.0007064,0.0007064,0.0007064
